SYS_TIME[ms],T_CNT[us],T_PPS[us],T_CAN_RSV[us],DP[Pa],AOA[deg],AOS[deg],T_DP_SENSOR[degC],PS[hPa],H_PS[m],TAT[degC],HUM[%],RHO[kg/m^3],T_PS_SENSOR[degC],AX[m/s^2],AY[m/s^2],AZ[m/s^2],GX[deg/s],GY[deg/s],GZ[deg/s],EX[deg],EY[deg],EZ[deg],MICROSECONDS_PPS[us],cls[-],id[-],len[-],iTOW[ms],year[y],month[month],day[d],hour[h],minute[min],sec[s],valid[-],tAcc[ns],nano[ns],fixType[-],flags[-],flags2[-],numSV[-],lon[10^7 deg],lat[10^7 deg],height[mm],hMSL[mm],hAcc[mm],vAcc[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[10^5 deg],sAcc[mm/s],headAcc[10^5 deg],pDOP[-],reserved1[-],headVeh[10^5 deg],reserved2[-],DP_raw[Pa],AOA_raw[deg],AOS_raw[deg],T_DP_SENSOR_raw[degC],PS_raw[hPa],H_PS_raw[m],TAT_raw[degC],HUM_raw[%],RHO_raw[kg/m^3],T_PS_SENSOR_raw[degC],AX_raw[m/s^2],AY_raw[m/s^2],AZ_raw[m/s^2],GX_raw[deg/s],GY_raw[deg/s],GZ_raw[deg/s],EX_raw[deg],EY_raw[deg],EZ_raw[deg],MICROSECONDS_PPS_raw[us],cls_raw[-],id_raw[-],len_raw[-],iTOW_raw[ms],year_raw[y],month_raw[month],day_raw[d],hour_raw[h],minute_raw[min],sec_raw[s],valid_raw[-],tAcc_raw[ns],nano_raw[ns],fixType_raw[-],flags_raw[-],flags2_raw[-],numSV_raw[-],lon_raw[10^7 deg],lat_raw[10^7 deg],height_raw[mm],hMSL_raw[mm],hAcc_raw[mm],vAcc_raw[mm],velN_raw[mm/s],velE_raw[mm/s],velD_raw[mm/s],gSpeed_raw[mm/s],headMot_raw[10^5 deg],sAcc_raw[mm/s],headAcc_raw[10^5 deg],pDOP_raw[-],reserved1_raw[-],headVeh_raw[10^5 deg],reserved2_raw[-],ROLL[deg],PITCH[deg],YAW[deg],H_US[-],ELEV[-],RUDD[-],AIR_DATA_EN[-],ENV_DATA_EN[-],IMU_DATA_EN[-],GPS_DATA_EN[-],LOGGING_EN[-],LOGGING_MODE[-],AOA_OFFSET[deg],AOS_OFFSET[deg],DP_GAIN[-],DP_OFFSET[Pa],LPF_DP[-],LPF_SW[-],PS_INIT_VAL[hPa],H_PS_OFFSET[m],LPF_PS[-],LPF_SW[-],AX_OFFSET[m/s^2],AY_OFFSET[m/s^2],AZ_OFFSET[m/s^2],GX_OFFSET[deg/s],GY_OFFSET[deg/s],GZ_OFFSET[deg/s],EX_OFFSET[deg],EY_OFFSET[deg],EZ_OFFSET[deg],LPF_ACC[-],LPF_GYR[-],LPF_ACC_SW[-],LPF_GYR_SW[-],DP_err[-],AOA_err[-],AOS_err[-],T_DP_SENSOR_err[-],DP_GAIN_err[-],DP_OFFSET_err[-],AOA_OFFSET_err[-],AOS_OFFSET_err[-],LPF_DP_err[-],DP_I2C_err[-],AOA_I2C_err[-],AOS_I2C_err[-],SETTING_DATA_READ_err[-],PS_err[-],T_PS_SENSOR_err[-],TAT_err[-],HUM_err[-],PS_INIT_VAL_err[-],H_PS_OFFSET_err[-],H_PS_err[-],RHO_err[-],LPF_PS_err[-],ENV_I2C_err[-],SETTING_DATA_READ_err[-],AX_err[-],AY_err[-],AZ_err[-],GX_err[-],GY_err[-],GZ_err[-],LPF_ACC_err[-],LPF_GYR_err[-],AX_OFFSET_err[-],AY_OFFSET_err[-],AZ_OFFSET_err[-],GX_OFFSET_err[-],GY_OFFSET_err[-],GZ_OFFSET_err[-],EX_OFFSET_err[-],EY_OFFSET_err[-],EZ_OFFSET_err[-],SETTING_DATA_READ_err[-],PPS_INTV_err[-],MEG_INTV_err[-],CHK_SUM_err[-],INIT_err[-],SET_MODE_err[-],SEND_err[-],RECEIVE_err[-],AIRSPEED[m/s],WINDN[m/s],WINDE[m/s],WINDD[m/s],SD_DETECT[-],LOG_NUMBER[-],LOGGING_MODE[-],LOGGING_EN[-],CPU_USED[%],MEMORY_USED[%]
1457899,1,1457014786,1457857734,3.916666746,3.789306641,-43.70507813,39.86500168,997.3132935,0.680882514,36.23140335,56.21271133,1.109211206,56.16999817,-0.039239999,-0.039239999,9.476460457,-0.769999981,-0.980000019,0.419999987,-1.237023473,0.442073405,-70.62145996,0,1,7,92,23647700,2022,7,24,6,33,49,55,4,699960543,3,1,10,17,1362544734,352941826,130056,95263,1394,1759,-91,34,10,97,13568253,220,4437217,116,,0,,3.916666746,172.5732422,160.7519531,39.86500168,997.3066406,0,36.23140335,56.21271133,1.225000024,56.16999817,-0.039239999,-0.039239999,9.476460457,-0.769999981,-0.980000019,0.419999987,-1.237023473,0.442073405,-70.62145996,0,1,7,92,23647700,2022,7,24,6,33,49,55,4,699960543,3,1,10,17,1362544734,352941826,130056,95263,1394,1759,-91,34,10,97,13568253,220,4437217,116,,0,,0,0,0,195,2175,2112,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.657456636,-1.670033097,3.252595901,0.900659561,TRUE,4,1,TRUE,60,56
1457959,1,1457014786,1457941829,3.900000095,3.811279297,-43.57324219,39.88000107,997.3137817,0.675237656,36.24475479,56.20203018,1.109156132,56.15999985,-0.098099999,-0.04905,9.545129776,-0.839999974,-0.980000019,0.49000001,-1.197589636,0.542508721,-70.61203003,0,1,7,92,23647800,2022,7,24,6,33,49,55,4,799960534,3,1,10,17,1362544736,352941826,130068,95275,1394,1759,-41,35,8,54,13568253,204,4437424,116,,0,,3.900000095,172.5952148,160.8837891,39.88000107,997.3598633,0,36.24475479,56.20203018,1.225000024,56.15999985,-0.098099999,-0.04905,9.545129776,-0.839999974,-0.980000019,0.49000001,-1.197589636,0.542508721,-70.61203003,0,1,7,92,23647800,2022,7,24,6,33,49,55,4,799960534,3,1,10,17,1362544736,352941826,130068,95275,1394,1759,-41,35,8,54,13568253,204,4437424,116,,0,,0,0,0,195,2175,2111,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.651862383,-1.774314284,2.906030416,1.164715409,TRUE,4,1,TRUE,59,56
1458019,1,1458014801,1457983903,4.066666603,3.943115234,-43.46337891,39.88000107,997.3106689,0.709154665,36.18867874,56.15777969,1.109408855,56.16999817,-0.21582,-0.304109991,9.81000042,-1.190000057,-1.120000005,0.629999995,-1.552770615,0.705742478,-70.58990479,0,1,7,92,23647900,2022,7,24,6,33,49,55,4,899960525,3,1,10,17,1362544737,352941825,130070,95277,1393,1759,-29,16,12,33,13568253,209,4437636,116,,0,,4.066666603,172.7270508,160.9936523,39.88000107,997.2983398,0,36.18867874,56.15777969,1.225000024,56.16999817,-0.21582,-0.304109991,9.81000042,-1.190000057,-1.120000005,0.629999995,-1.552770615,0.705742478,-70.58990479,0,1,7,92,23647900,2022,7,24,6,33,49,55,4,899960525,3,1,10,17,1362544737,352941825,130070,95277,1393,1759,-29,16,12,33,13568253,209,4437636,116,,0,,0,0,0,196,2173,2110,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.707624674,-1.731952667,2.322510004,1.736465335,TRUE,4,1,TRUE,61,56
1458079,1,1458014801,1458067752,3.900000095,3.855224609,-42.93603516,39.88000107,997.3146362,0.669251323,36.10055542,56.07537842,1.109820008,56.15999985,0,-0.176579997,9.672659874,-0.349999994,-0.769999981,0.349999994,-1.308200717,0.19659479,-70.56936646,0,1,7,92,23647900,2022,7,24,6,33,49,55,4,899960525,3,1,10,17,1362544737,352941825,130070,95277,1393,1759,-29,16,12,33,13568253,209,4437636,116,,0,,3.900000095,172.6391602,161.5209961,39.88000107,997.3225098,0,36.10055542,56.07537842,1.225000024,56.15999985,0,-0.176579997,9.672659874,-0.349999994,-0.769999981,0.349999994,-1.308200717,0.19659479,-70.56936646,0,1,7,92,23647900,2022,7,24,6,33,49,55,4,899960525,3,1,10,17,1362544737,352941825,130070,95277,1393,1759,-29,16,12,33,13568253,209,4437636,116,,0,,0,0,0,196,2175,2110,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.651068926,-1.33335042,1.566394329,1.605794668,TRUE,4,1,TRUE,60,56
1458139,1,1458014801,1458109848,3.883333445,3.811279297,-42.10107422,39.88999939,997.3163452,0.652478635,36.21538162,56.21118546,1.109285235,56.15999985,-0.05886,-0.02943,9.51570034,0.209999993,-0.699999988,0.07,-1.428236604,-0.012651484,-70.55651855,0,1,7,92,23648000,2022,7,24,6,33,50,55,4,-39483,3,1,10,17,1362544737,352941825,130061,95268,1393,1759,-5,27,20,27,13568253,174,4437812,116,,0,,3.883333445,172.5952148,162.355957,39.88999939,997.3322754,0,36.21538162,56.21118546,1.225000024,56.15999985,-0.05886,-0.02943,9.51570034,0.209999993,-0.699999988,0.07,-1.428236604,-0.012651484,-70.55651855,0,1,7,92,23648000,2022,7,24,6,33,50,55,4,-39483,3,1,10,17,1362544737,352941825,130061,95268,1393,1759,-5,27,20,27,13568253,174,4437812,116,,0,,0,0,0,195,2175,2110,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.64603591,0.297582954,-1.086228371,2.014478683,TRUE,4,1,TRUE,61,56
1458199,1,1458014801,1458194173,3.75,4.031005859,-41.83740234,39.88499832,997.3147583,0.663797438,36.20203018,56.13794327,1.109360814,56.16999817,-0.078479998,-0.10791,9.760950089,1.120000005,-0.839999974,0.209999993,-1.548252583,-0.169944704,-70.54205322,0,1,7,92,23648000,2022,7,24,6,33,50,55,4,-39483,3,1,10,17,1362544737,352941825,130061,95268,1393,1759,-5,27,20,27,13568253,174,4437812,116,,0,,3.75,172.8149414,162.6196289,39.88499832,997.3085938,0,36.20203018,56.13794327,1.225000024,56.16999817,-0.078479998,-0.10791,9.760950089,1.120000005,-0.839999974,0.209999993,-1.548252583,-0.169944704,-70.54205322,0,1,7,92,23648000,2022,7,24,6,33,50,55,4,-39483,3,1,10,17,1362544737,352941825,130061,95268,1393,1759,-5,27,20,27,13568253,174,4437812,116,,0,,0,0,0,195,2174,2111,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.600125074,1.151175857,-1.741022944,1.509814262,TRUE,4,1,TRUE,60,56
1458259,1,1458014801,1458236028,4.033333302,3.899169922,-41.83740234,39.86000061,997.321106,0.612709641,36.18867874,56.18371964,1.109414101,56.16999817,-0.098099999,0.04905,9.653039932,0.349999994,-0.980000019,0.49000001,-0.840698421,-0.177218631,-70.52380371,0,1,7,92,23648100,2022,7,24,6,33,50,55,4,99960507,3,1,10,17,1362544738,352941824,130061,95268,1393,1759,-40,41,21,58,13568253,196,4438011,116,,0,,4.033333302,172.6831055,162.6196289,39.86000061,997.3522949,0,36.18867874,56.18371964,1.225000024,56.16999817,-0.098099999,0.04905,9.653039932,0.349999994,-0.980000019,0.49000001,-0.840698421,-0.177218631,-70.52380371,0,1,7,92,23648100,2022,7,24,6,33,50,55,4,99960507,3,1,10,17,1362544738,352941824,130061,95268,1393,1759,-40,41,21,58,13568253,196,4438011,116,,0,,0,0,0,196,2172,2111,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.696498632,-0.187745526,-1.307493687,2.033652306,TRUE,4,1,TRUE,60,56
1458319,1,1458014801,1458278017,3.866666555,3.943115234,-42.14501953,39.88999939,997.3234863,0.58420223,36.11390686,56.08911133,1.109768152,56.16999817,0.019619999,0,9.466650009,0.349999994,-0.699999988,0.419999987,-0.767915308,-0.345463783,-70.50164795,0,1,7,92,23648200,2022,7,24,6,33,50,55,4,199960499,3,1,10,17,1362544739,352941823,130076,95283,1392,1759,-79,20,14,81,13568253,226,4438240,116,,0,,3.866666555,172.7270508,162.3120117,39.88999939,997.2712402,0,36.11390686,56.08911133,1.225000024,56.16999817,0.019619999,0,9.466650009,0.349999994,-0.699999988,0.419999987,-0.767915308,-0.345463783,-70.50164795,0,1,7,92,23648200,2022,7,24,6,33,50,55,4,199960499,3,1,10,17,1362544739,352941823,130076,95283,1392,1759,-79,20,14,81,13568253,226,4438240,116,,0,,0,0,0,194,2176,2108,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.639776945,-0.847983122,-0.045705337,1.645594954,TRUE,4,1,TRUE,60,56
1458379,1,1458014801,1458361952,3.933333397,3.877197266,-42.27685547,39.85499954,997.3178101,0.641014993,36.15930557,56.07385254,1.109567046,56.15999985,-0.00981,-0.039239999,9.653039932,0.769999981,-0.419999987,0.699999988,-0.82435596,-0.050084345,-70.4732666,0,1,7,92,23648200,2022,7,24,6,33,50,55,4,199960499,3,1,10,17,1362544739,352941823,130076,95283,1392,1759,-79,20,14,81,13568253,226,4438240,116,,0,,3.933333397,172.6611328,162.1801758,39.85499954,997.3164063,0,36.15930557,56.07385254,1.225000024,56.15999985,-0.00981,-0.039239999,9.653039932,0.769999981,-0.419999987,0.699999988,-0.82435596,-0.050084345,-70.4732666,0,1,7,92,23648200,2022,7,24,6,33,50,55,4,199960499,3,1,10,17,1362544739,352941823,130076,95283,1392,1759,-79,20,14,81,13568253,226,4438240,116,,0,,0,0,0,195,2177,2109,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.662677765,-1.008427143,-0.092333861,1.596275091,TRUE,4,1,TRUE,60,56
1458439,1,1458014801,1458403891,3.883333445,3.921142578,-42.25488281,39.86999893,997.3200684,0.618494987,36.24475479,56.03875732,1.109205127,56.16999817,-0.21582,-0.382589996,10.00619984,0,-0.839999974,0.49000001,-0.993667662,0.062948048,-70.46704102,0,1,7,92,23648300,2022,7,24,6,33,50,55,4,299960490,3,1,10,17,1362544740,352941824,130078,95285,1392,1759,25,24,15,35,13568253,221,4438463,116,,0,,3.883333445,172.7050781,162.2021484,39.86999893,997.3779297,0,36.24475479,56.03875732,1.225000024,56.16999817,-0.21582,-0.382589996,10.00619984,0,-0.839999974,0.49000001,-0.993667662,0.062948048,-70.46704102,0,1,7,92,23648300,2022,7,24,6,33,50,55,4,299960490,3,1,10,17,1362544740,352941824,130078,95285,1392,1759,25,24,15,35,13568253,221,4438463,116,,0,,0,0,0,195,2178,2108,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.646131277,-0.690739393,-0.432567477,1.679320455,TRUE,4,1,TRUE,61,56
1458500,1,1458014801,1458487618,3.883333445,3.943115234,-42.25488281,39.875,997.3250122,0.572942555,36.15930557,56.15320206,1.109555006,56.15999985,-0.11772,-0.412019998,10.23182964,1.330000043,-0.769999981,0.140000001,-1.530558944,-0.029844992,-70.45721436,0,1,7,92,23648300,2022,7,24,6,33,50,55,4,299960490,3,1,10,17,1362544740,352941824,130078,95285,1392,1759,25,24,15,35,13568253,221,4438463,116,,0,,3.883333445,172.7270508,162.2021484,39.875,997.3911133,0,36.15930557,56.15320206,1.225000024,56.15999985,-0.11772,-0.412019998,10.23182964,1.330000043,-0.769999981,0.140000001,-1.530558944,-0.029844992,-70.45721436,0,1,7,92,23648300,2022,7,24,6,33,50,55,4,299960490,3,1,10,17,1362544740,352941824,130078,95285,1392,1759,25,24,15,35,13568253,221,4438463,116,,0,,0,0,0,195,2175,2120,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.645714045,0.24496457,-0.522280693,1.821075678,TRUE,4,1,TRUE,60,56
1458560,1,1458014801,1458529791,4.016666889,3.921142578,-42.18896484,39.89500046,997.3222046,0.601332009,36.17265701,56.08758545,1.109509945,56.16999817,0.04905,-0.549359977,10.2122097,0.419999987,-0.560000002,0.07,-1.836290359,-0.174771681,-70.43893433,0,1,7,92,23648400,2022,7,24,6,33,50,55,4,399960481,3,1,10,17,1362544741,352941823,130103,95310,1392,1759,-4,-4,6,6,13568253,240,4438707,116,,0,,4.016666889,172.7050781,162.2680664,39.89500046,997.3583984,0,36.17265701,56.08758545,1.225000024,56.16999817,0.04905,-0.549359977,10.2122097,0.419999987,-0.560000002,0.07,-1.836290359,-0.174771681,-70.43893433,0,1,7,92,23648400,2022,7,24,6,33,50,55,4,399960481,3,1,10,17,1362544741,352941823,130103,95310,1392,1759,-4,-4,6,6,13568253,240,4438707,116,,0,,0,0,0,196,2173,2112,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.690805435,0.899305105,-0.624423683,1.733326554,TRUE,4,1,TRUE,60,56
1458620,1,1458014801,1458614203,4.300000191,4.074951172,-42.07910156,39.84999847,997.3199463,0.629696727,36.17265701,56.20355606,1.109477162,56.16999817,-0.11772,-0.245250002,9.819809914,0.349999994,-0.560000002,-0.07,-1.430808187,0.313061565,-70.43218994,0,1,7,92,23648500,2022,7,24,6,33,50,55,4,499960472,3,1,10,17,1362544742,352941822,130120,95327,1392,1759,-25,-11,3,27,13568253,248,4438958,116,,0,,4.300000191,172.8588867,162.3779297,39.84999847,997.2651367,0,36.17265701,56.20355606,1.225000024,56.16999817,-0.11772,-0.245250002,9.819809914,0.349999994,-0.560000002,-0.07,-1.430808187,0.313061565,-70.43218994,0,1,7,92,23648500,2022,7,24,6,33,50,55,4,499960472,3,1,10,17,1362544742,352941822,130120,95327,1392,1759,-25,-11,3,27,13568253,248,4438958,116,,0,,0,0,0,197,2176,2108,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.784133434,0.770076752,-1.624647975,1.402946711,TRUE,4,1,TRUE,60,56
1458680,1,1458014801,1458656175,4.300000191,4.096923828,-42.07910156,39.875,997.3170776,0.65236038,36.15930557,56.13031387,1.109551072,56.15999985,-0.10791,-0.392399997,9.888480186,-0.07,-0.49000001,-0.07,-1.296487093,0.517451763,-70.42633057,0,1,7,92,23648500,2022,7,24,6,33,50,55,4,499960472,3,1,10,17,1362544742,352941822,130120,95327,1392,1759,-25,-11,3,27,13568253,248,4438958,116,,0,,4.300000191,172.8808594,162.3779297,39.875,997.3537598,0,36.15930557,56.13031387,1.225000024,56.15999985,-0.10791,-0.392399997,9.888480186,-0.07,-0.49000001,-0.07,-1.296487093,0.517451763,-70.42633057,0,1,7,92,23648500,2022,7,24,6,33,50,55,4,499960472,3,1,10,17,1362544742,352941822,130120,95327,1392,1759,-25,-11,3,27,13568253,248,4438958,116,,0,,0,0,0,224,2177,2110,TRUE,TRUE,TRUE,TRUE,TRUE,1,-168.7839355,155.5429535,1,0,1,FALSE,997.3803711,0,0.050000001,TRUE,0,0,0,0,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.784040689,0.645456135,-1.809398651,1.183250904,TRUE,4,1,TRUE,61,56
